"concID";"pollutantID";"stationID";"year";"concentration";"pctValid";"measurementCode";"population"
388;"NO2";"AT72110";1997;42.0;99.0;"500";3543
389;"NO2";"AT72110";1998;40.0;98.0;"500";3543
390;"NO2";"AT72110";1999;41.0;99.0;"500";3543
391;"NO2";"AT72110";2000;39.0;96.0;"500";3543
392;"NO2";"AT72110";2001;39.0;93.0;"500";3543
393;"NO2";"AT72110";2002;39.0;95.0;"500";3543
394;"NO2";"AT72110";2003;44.0;95.0;"500";3543
395;"NO2";"AT72110";2004;46.0;95.0;"500";3543
396;"NO2";"AT72110";2005;52.0;95.0;"500";3543
397;"NO2";"AT72110";2006;51.0;96.0;"500";3543
398;"NO2";"AT72110";2007;45.0;95.0;"500";3543
399;"NO2";"AT72110";2008;44.0;95.0;"500";3543
400;"NO2";"AT72110";2009;42.0;96.0;"500";3543
401;"NO2";"AT72110";2010;43.0;96.0;"500";3543
402;"NO2";"AT72110";2011;44.0;96.0;"500";3543
403;"NO2";"AT72110";2012;42.0;96.0;"500";3543
404;"NO2";"AT72113";2011;23.0;95.0;"100";103632
405;"NO2";"AT72113";2012;23.0;96.0;"100";103632
406;"NO2";"AT72126";1996;34.0;96.0;"100";103632
407;"NO2";"AT72126";1997;35.0;96.0;"100";103632
408;"NO2";"AT72126";1998;35.0;99.0;"100";103632
409;"NO2";"AT900ZA";1988;36.0;99.0;"100";386753
410;"NO2";"AT900ZA";1989;40.0;90.0;"100";257835
411;"NO2";"AT900ZA";1990;34.0;99.0;"100";221002
412;"NO2";"AT900ZA";1991;31.0;99.0;"100";221002
413;"NO2";"AT900ZA";1992;25.0;99.0;"100";257835
414;"NO2";"AT900ZA";1993;29.0;97.0;"100";221002
415;"NO2";"AT900ZA";1994;30.0;98.0;"100";221002
416;"NO2";"AT900ZA";1995;34.0;98.0;"100";221002
417;"NO2";"AT900ZA";1996;33.0;99.0;"100";221002
418;"NO2";"AT900ZA";1997;30.0;99.0;"100";193376
419;"NO2";"AT900ZA";1998;35.0;99.0;"100";221002
420;"NO2";"AT900ZA";1999;25.0;97.0;"100";221002
421;"NO2";"AT900ZA";2000;22.0;99.0;"100";221002
422;"NO2";"AT900ZA";2001;21.0;99.0;"100";221002
423;"NO2";"AT900ZA";2002;24.0;99.0;"100";221002
424;"NO2";"AT900ZA";2003;26.0;99.0;"100";221002
425;"NO2";"AT900ZA";2004;22.0;98.0;"100";221002
426;"NO2";"AT900ZA";2005;24.0;95.0;"100";221002
427;"NO2";"AT900ZA";2006;25.0;95.0;"100";221002
428;"NO2";"AT900ZA";2007;23.0;95.0;"100";221002
429;"NO2";"AT900ZA";2008;25.0;87.0;"100";221002
430;"NO2";"AT900ZA";2009;24.0;95.0;"100";221002
431;"NO2";"AT900ZA";2010;23.0;95.0;"100";221002
432;"NO2";"AT900ZA";2011;22.0;95.0;"100";221002
433;"NO2";"AT900ZA";2012;20.0;95.0;"100";221002
434;"NO2";"AT90AKA";1996;30.0;99.0;"100";221002
435;"NO2";"AT90AKA";1997;31.0;97.0;"100";193376
436;"NO2";"AT90AKC";1988;54.0;94.0;"100";17630
437;"NO2";"AT90AKC";1989;49.0;99.0;"100";11753
438;"NO2";"AT90AKC";1990;43.0;96.0;"100";13222
439;"NO2";"AT90AKC";1991;40.0;99.0;"100";13222
440;"NO2";"AT90AKC";1992;35.0;97.0;"100";13222
441;"NO2";"AT90AKC";1993;39.0;97.0;"100";11753
442;"NO2";"AT90AKC";1994;34.0;99.0;"100";11753
443;"NO2";"AT90AKC";1995;34.0;98.0;"100";11753
444;"NO2";"AT90AKC";1996;33.0;99.0;"100";11753
445;"NO2";"AT90AKC";1998;32.0;98.0;"100";11753
446;"NO2";"AT90AKC";1999;31.0;97.0;"100";11753
447;"NO2";"AT90AKC";2000;32.0;96.0;"100";11753
448;"NO2";"AT90AKC";2001;26.0;99.0;"100";11753
